longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,VV,VH,VV_minus_VH,agbd
-59.86384282313543,-2.7810718302235236,328,521,322,2934,1615,672,0.8022112846374512,-5.982968356759506,-10.995335463572147,5.012367106812641,207.52915954589844
-60.39654378661831,-3.8408592866635294,498.5,708.5,641.5,2469.5,2511,1565,0.5875924229621887,-10.231345157196909,-14.688101838153091,4.4567566809561825,1.3255300521850586
-59.93548346704396,-2.58164583714899,335,527,309,2956,1424,577,0.8107197284698486,-7.214526897177725,-13.723543237731615,6.50901634055389,236.203674
-60.515795140585176,-3.9360807067801984,222,373,232,2411,1320,533,0.8244419097900391,-9.321656541734107,-14.607152540200799,5.285495998466692,119.425949
-59.910555217909646,-3.871851163965653,349.5,589.5,336,3530,1962.5,850,0.8261769413948059,-7.549181597748994,-15.734469410613524,8.18528781286453,36.61936569213867
-59.86204619256719,-3.366548816648422,356,563,325,3886,1847,761,0.8456423878669739,-7.836180597990541,-14.655590081793905,6.819409483803364,89.191742
-60.35297549533851,-3.6787133778799554,355,550,414.5,2334,1944.5,997,0.6983809471130371,-10.293378325218544,-13.3215346318916,3.028156306673056,1.0295219421386719
-59.52809748569576,-2.981171559761147,344,568,302,3448,1571,636,0.8389333486557007,-7.326963025953493,-12.232434457757606,4.905471431804113,110.938087
-60.14905792584338,-2.998913286622508,297,435,267,2628,1458,591,0.815544068813324,-8.991258880710255,-15.535473136583324,6.544214255873069,130.101883
-60.732064545236945,-2.9097554946736452,255,418,228,2716,1401,542,0.845108687877655,-8.921120456604376,-14.980956708270178,6.059836251665802,92.731041
-59.435346432610416,-2.870005043351356,316,516,273,3260,1603,658,0.845457136631012,-8.202037663845491,-14.662712962478535,6.460675298633044,264.053528
-59.45286358065075,-2.906162233537167,265,475,267.5,3174.5,1583,628.5,0.8445671200752258,-8.304608446603314,-14.357094373106891,6.052485926503577,66.55023956298828
-60.226986776740745,-3.9133982458561807,318,496.5,294.5,2978.5,1590.5,643,0.8200427889823914,-6.474683457698951,-12.350806997574201,5.87612353987525,115.070847
-60.44976896720239,-2.573336420770884,228,380,231,2450,1240,511,0.8276762366294861,-7.8908508619644575,-14.0601855180698,6.169334656105342,130.176331
-60.0762943878297,-2.9672476728572947,378,588.5,537,3088,2091,1011,0.7037241458892822,-8.808310863705238,-14.155575404809127,5.34726454110389,6.201348781585693
-60.01655642143575,-3.753048967640846,353.5,554,315.5,3465.5,1874.5,772,0.8331129550933838,-7.304632825367866,-11.124983385584372,3.8203505602165055,265.627441
-59.45196526536663,-3.5158937326332924,396,573,348,3079,1795,758,0.7969068884849548,-8.059040551031345,-13.264404444193207,5.205363893161863,108.15446472167969
-60.42147203575262,-2.4702547419181693,332,468,307,2838,1323.5,566,0.8047694563865662,-9.086341211150703,-13.771746509555875,4.685405298405172,163.881729
-59.41131649876022,-2.9879089243920434,336,576.5,361.5,3134.5,1814,783,0.7931922078132629,-8.470648828841401,-14.740031302263345,6.269382473421944,165.803589
-60.00824700505764,-2.615557239124502,358.5,515.5,293.5,2954,1488.5,643.5,0.8192455768585205,-7.448706650215331,-14.163001842537549,6.714295192322218,242.621994
-59.894834700437556,-2.701795506399976,382.5,558.5,336.5,3376,1719.5,699,0.8187205195426941,-10.495225380372178,-15.648880149117106,5.153654768744929,427.178467
-60.66850873888549,-3.1999113314442504,348,471,394,1961,1763,913,0.6653927564620972,-8.822576368969944,-16.272751046932022,7.450174677962078,104.0850601196289
-60.32333109096257,-2.733461120165189,259.5,438.5,275,2490.5,1384.5,574,0.801120936870575,-8.963285687429833,-14.456053998541316,5.492768311111483,169.459335
-60.437866289687804,-2.4502672268465098,267,420,246,2690,1405,584,0.832425057888031,-8.96848592045799,-14.961762530560192,5.9932766101022015,282.220551
-60.69837772208247,-3.837490604348081,282.5,494.5,279.5,3070.5,1523,633,0.8331343531608582,-8.217106233250854,-14.002713504140631,5.785607270889777,173.798309
-60.466836957600655,-2.555145536267464,321.5,505,316.5,2859.5,1548.5,664.5,0.8006926774978638,-7.433108083022527,-13.65378164613637,6.220673563113842,118.640648
-59.69383665561581,-3.3521757721025094,387,579,356,3121,1879,788,0.7952257990837097,-6.868660586933906,-13.36727847835874,6.498617891424834,11.111023902893066
-61.02828401017536,-3.3544215603128085,332,590,335,3421,1610,676,0.8216187357902527,-7.234144744978314,-14.511948978750112,7.277804233771798,51.720928
-60.27392375033599,-3.719362144486364,377,587,317,3345,1759,709,0.8268705606460571,-6.323688448257423,-13.517607024659618,7.193918576402195,0
-60.416755880511,-3.687696530721151,250,407,249,2620.5,1447.5,569,0.8264505863189697,-7.075972005953643,-12.048286453013192,4.972314447059549,116.307152
-59.59569571082575,-2.6106165050618446,386,567,345,2920,1659,694,0.7886676788330078,-5.2803878160302435,-11.394133486662398,6.113745670632154,220.53656005859375
-59.953225193905325,-3.8471474936523657,339,525,307,2925,1624,688,0.8100247383117676,-7.841015422854477,-15.416499947663933,7.575484524809456,91.274384
-59.416481811643905,-3.1046899113275814,588,846,930,2595,3049,1827,0.4723404347896576,-9.56030556774092,-18.446084742571603,8.885779174830683,75.893661
-60.18274474899786,-3.8314269761802744,341,515,316,2723,1490,607,0.7920368313789368,-9.196703800313074,-14.902790775038932,5.706086974725858,223.070129
-59.8485714633054,-3.7216079326966627,347,505,325,3212,1637,709,0.816228449344635,-9.846179016769787,-14.852834380922651,5.006655364152865,192.819641
-59.7358328951484,-2.446224808067972,363,514,297,2823,1519,642,0.8096153736114502,-9.058706878751059,-17.004869895130884,7.946163016379826,304.528076
-60.7610352131498,-3.5253260431165474,339,507,279,2917,1509,677,0.8254067301750183,-7.095014970840815,-13.845702643841172,6.750687673000357,53.547935485839844
-59.364154946343945,-3.0465239966808424,431,643,385,3374,1711,711,0.7951582670211792,-9.557928270508175,-17.41645818850334,7.858529917995167,148.083374
-60.51242645826972,-2.7251517037870836,230,435,229,3094,1477,606,0.8621727228164673,-7.76979718683549,-13.668894527968348,5.899097341132858,232.432571
-60.03452272711814,-2.4987762521889643,378,525,346,2829,1464,600,0.7820472717285156,-6.897906795372193,-14.253182996535749,7.355276201163556,196.567947
-59.741671944495174,-3.6333484560319196,375,499,344,2554,1590,698,0.7625948786735535,-9.166955649990435,-15.341552651789481,6.174597001799047,172.353882
-59.78007492289129,-3.4186511031273543,423,540,431,2669,2106,1120,0.721935510635376,-9.33748053481464,-14.472182203891869,5.134701669077229,228.492386
-60.85760410619265,-2.965675621110085,289,446,279,2802,1531,641,0.8188899755477905,-7.171004249181866,-14.617215300518396,7.44621105133653,189.387329
-60.84300648282571,-3.2156318489163422,247,435,200,3463,1569,616,0.890799880027771,-6.7093832096743125,-12.97233301537665,6.262949805702338,99.775261
-59.951203984516056,-3.4747958083848243,381.5,513.5,324,3201.5,1840,854,0.8161962628364563,-8.435570093479862,-14.215628270741467,5.780058177261605,66.671379
-59.586263400342496,-2.7779277267291054,353,528,294,3142,1582,676,0.8288707733154297,-5.38954518029602,-12.465120366600155,7.075575186304135,243.039276
-60.046200825811695,-2.9054884970740775,346.5,528.5,314,3348,1655.5,693,0.8285090327262878,-9.668011458600795,-14.798289959127416,5.130278500526622,216.109451
-59.51282612586573,-3.441782721693432,397,584,337,3184,1723,730,0.8085771203041077,-12.072038811435789,-18.3640750694645,6.292036258028713,152.606598
-59.6839551874905,-2.959611992942279,323.5,557.5,303.5,3249.5,1652.5,682.5,0.8291584849357605,-8.886697327399954,-14.84651836980502,5.959821042405066,113.003304
-60.35162802241233,-3.46356686733333,305,502,305,3066,1574,650,0.8190447688102722,-6.9250649305327165,-14.290534302540776,7.365469372008059,39.895835876464844
-60.24877092238064,-3.8819572109119975,308,482,309.5,2803.5,1521,617.5,0.8011564612388611,-8.114182454441384,-15.242908898682082,7.128726444240698,105.268982
-60.67434778823227,-3.1853137080773086,297,502,258.5,3073,1388.5,568,0.844814658164978,-9.084014676575222,-15.71477525440887,6.630760577833648,58.009441
-60.85850242147677,-3.020922011083436,245.5,451.5,226,3206,1543,596,0.868298351764679,-7.156729717221996,-14.026518150287703,6.8697884330657075,86.734222
-60.01071737208897,-2.6213962884712787,344,514,316,2759,1447,583,0.7944715619087219,-6.623970483471265,-12.376936199446657,5.752965715975392,445.9335175
